Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
¡Una visita obligada!,Maravilloso lugar para visitar! El guía estaba bien informado sobre el sitio y explicó la importancia y configuración del espacio. Pudimos volver a ver las múltiples estructuras con información contextual.,,5,,31 de julio de 2025,jul de 2025
Hito cultural,"Es un lugar religioso muy apreciado. Consta tanto de la basílica antigua histórica como de la estructura moderna, dando a los visitantes una experiencia arquitectónica y espiritual diversa.",,5,"Fukuoka, Japón",14 de julio de 2025,dic de 2024
Increíble,"Nuestro guía turístico era extremadamente bien informado y servicial! El museo es increíble y hay mucho que ver y experimentar, así que sin duda recomiendo un guía cuando visite",,4,,23 de junio de 2025,jun de 2025
Misas cada 1 hora !!,"Si eres católico, es un imperdible.Si no lo eres y tienes curiosidad por el manto de la Virgen de Guadalupe, vale la pena ir a verlo",,5,"Santiago, Chile",4 de junio de 2025,jun de 2025
¡Unos de los lugares más sagrados del mundo!,"Sin duda alguna este es uno de los lugares más sagrados del mundo, dónde nuestra Virgen de Guadalupe apareció a San Juan Diego. Poder ver la imagen original de nuestra amada madre es una experiencia inolvidable, única y que nos hace sentir paz, amor y recargar nuestras vidas de cosas buenas y del amor divino de nuestro Padre y nuestra Madre celestial! Que hermoso es estar aquí y sentir todo este amor! Lugar increíble, sagrado y lleno de amor! Que Dios y nuestra Madre nos bendiga siempre!",,5,"Ciudad de México, México",2 de junio de 2025,may de 2025
Enorme basilika moderna,"Este es un buen ejemplo de cómo satisfacer las nuevas necesidades religiosas, pero preservando el medio ambiente tradicional. La basílica en sí es impresionante, pero hay otros siete edificios en la zona, así que habla tu tiempo para caminar",,4,"Upsala, Suecia",19 de abril de 2025,abr de 2025
un museo escondido,un gran museo dentro existe un gran museo que pocos conocen un rincón con maravillas de arte novohispano muy recomendable para visitar después de visitar las dos iglesias tomar el tiempo para visitar el museo y disfrutar de grandes muestras de arte sobre todo una pinacoteca muy completa.,,5,"Guadalajara, México",2 de abril de 2025,mar de 2025
Anotar las horas de masa más actualizadas,Fue temprano en la mañana para evitar misa y hubo una misa. No en el sitio web. Caminamos por el terreno y volvimos a la Basílica. La reliquia se puede ver en la pasarela en movimiento incluso cuando está en misa.,,5,"Chicago, IL",19 de marzo de 2025,mar de 2025
es todo un complejo religioso... un balsamo espiritual,"no es solo una Basilica, debes hacer el recorrido por todas las iglesias y capillas del complejo, primero eso si, admirar la imagen de Nuestra Señora, visita la tienda de la basilica, hay mucho arte religioso.",,5,"Cali, Colombia",6 de marzo de 2025,nov de 2024
Gran lugar para pasar un par de horas,"Hermoso complejo de edificios y estatuas, bastante para caminar y ver. La mayor parte se cierra a las 5: 30 pm pero la basílica principal está abierta hasta las 9 pm. No preguntes por Santa María de Guadalupe solo por la Basílica de Guadalupe ya que hay otra más al norte. Todo es gratis.",,5,"Houston, TX",21 de febrero de 2025,feb de 2025
Cree que experimentarás el amor de Dios,Tranquilo y pacífico... Tengo la oportunidad de celebrar la Santa Misa y Lleno de energía positiva después de celebrar la Santa Misa en el gran alter... Gracias,,5,"Kottayam District, India",16 de febrero de 2025,feb de 2025
Espacio extraordinario tanto por dentro como por fuera,"Moderna - iglesia y plaza, ambos de tamaño enorme e impresionante. Un verdadero ambiente familiar con adultos y niños sentados y comiendo en todas partes. Un lugar encantador.",,5,"Norwich, UK",31 de enero de 2025,ene de 2025
La capa ..,"Vinimos aquí como parte de nuestra gira. La Basílica en sí es bastante nueva y construida para albergar una gran congregación, por lo tanto, no tiene el granjero de las iglesias antiguas. Creo que este lugar tiene más significado para aquellos que son religiosos. Hay un movimiento lateral que va bajo la imagen colgada de la capa virgen.",,4,"Ann Arbor, MI",26 de enero de 2025,ene de 2025
Imponente,"“La Basílica de Guadalupe es un destino emblemático a nivel mundial y un lugar de gran importancia cultural y religiosa. Aunque tiene una infraestructura impresionante, cuenta con una fisura notable que no pasa desapercibida. Sin embargo, sigue siendo un sitio que vale la pena visitar y disfrutar.”",,4,"Bogotá, Colombia",14 de enero de 2025,ene de 2025
Gran lugar para visitar!!,"Este lugar es maravilloso, la arquitectura es perfecta; gran experiencia para los creyentes 🙌. Si quieres comprar recuerdos, ve al mercado de al lado ya que los precios son un 50 % más baratos que dentro de la basílica!!",,5,"San Antonio, TX",31 de diciembre de 2024,dic de 2024
Bonito centro de peregrinación,"Un bonito centro de peregrinación, aunque lleno de gente, pero no una larga espera en cualquier lugar dentro del centro, no muy accesible a la multitud de habla inglesa, para ver el sudario tuvimos que adivinar dónde está la fila pero resultó correcto al final, podría haber una larga espera en la tienda, hay un museo, pero habría estado bien tener descripciones en inglés también!",,4,"Boston, MA",31 de diciembre de 2024,dic de 2024
Emocionante,"Un lugar imprescindible para cualquier cristiano que visite Ciudad De México. Las dos Basílicas y los alrededores, son lugares de culto y se nota la devoción de los visitantes. Realmente entrañable e inolvidable.",,5,"Bilbao, España",31 de diciembre de 2024,nov de 2024
Basílica interesante,"Tal vez no la más grande pero una de las basílicas más importantes. Incluso visitado por los papas varias veces. Algunos de los edificios están inclinados, parece que pueden colapsar en cualquier momento.",,5,"Graz, Austria",26 de diciembre de 2024,dic de 2024
"Esto vale la pena una visita, incluso si usted no es religioso o católico.","El atractivo principal es la basílica contemporánea, pero también sugiero subir la colina para ver el paisaje y la gente. ¡Increíble!",,5,,17 de diciembre de 2024,dic de 2024
Sitio obligado de visita,"Lugar obligado para visitar, muy organizada, muy bien preservada, dan misa cada hora, tienen tienda propia para comprar recuerdos, a la salida tienen un sitio para bendecir lo que compraste ",,5,,21 de noviembre de 2024,nov de 2024
Genial!!,"Es un lugar impresionante, independientemente de la religión que practiques, recomiendo 100% visitarlo, es muy grande y tiene cosas muy interesantes, además de su historia que es bella.La Paz y la tranquilidad de este lugar es maravillosa",,5,"Villa Clara Province, Cuba",21 de octubre de 2024,oct de 2024
Católico histórico impresionante lleno,"Genial! ¡Paz! ¡Magnífico! ¡Y muy congestionado de turistas! Vinimos aquí en un viaje en Uber, no hay necesidad de un Guía turístico. No olvides que esta es una iglesia que celebra misa regularmente. Todavía requiere que los visitantes practiquen el respeto hacia la fe católica. Esta es una gran propiedad con dos iglesias y el cerro del Tepeyac. Asegúrese de tomarse su tiempo y detenerse y visitar todo. No te intimides con las escaleras que conducen a El Cerro de Tepeyac, donde Juan Diego vio a la madre virgen. Una vez que llegas, tienen una sección de recuerdos, un cementerio, que no pude ver debido a que estaba cerrado. También visitarás una pequeña capilla. La capilla es donde solía estar la Virgen María tilma. Encontrarás una tienda de recuerdos y algunos vendedores de comida ambulante. Desde allí, también se puede disfrutar de una vista espectacular de la ciudad. Definitivamente vale la pena los 15 minutos cortos de pasos arriba. También merece la pena visitar la histórica capilla vieja, ya que poco a poco se va hundiendo. Su arquitectura es impresionante.",,5,"Mission, TX",15 de septiembre de 2024,jul de 2024
Hermosa,"Una de las iglesias más hermosas para visitar. muy impresionante, hermoso para ver. cuando estés en la ciudad de mexico esto es una necesidad.",,5,,12 de septiembre de 2024,sept de 2024
"""Iglesia monumental""","La Basílica  dedicada a la Virgen de Guadalupe,impresiona por su arquitectura circular,posee un estilo moderno.Es el recinto mariano más visitado del mundo.En su interior hay paredes llenas de obras artísticas.¡¡Es un recinto católico que impresiona!!",,4,"La Serena, Chile",7 de agosto de 2024,mar de 2024
Inolvidable visita en el corazón de la fe de Méjico,"Independientemente de la inclinación religiosa que se tenga, la visita en este sitio será una de las experiencias más agradables que se pueda tener en Méjico. Este es un país muy religioso, por tanto visitar el lugar más importante para ellos es un momento importante. Si además se es creyente, este lugar te transportará a una dimensión de superación y fe. Es decir, independiente de la condición que cada uno tenga, es obligatoria est visita",,5,"Madrid, España",31 de julio de 2024,jul de 2024
Apoyar a los alrededores,"Me encanta que esta basílica es muy linda, lo mejor de todo es que puedes ver que la virgen sigue en su atrio y luce hermosa, lo único malo es que la zona no es muy linda, y es algo peligrosa, la iglesia debería de apoyar con dinero a las zonas aledañas .",,3,,22 de julio de 2024,sept de 2023
"Virgen de Guadalupe, rogad por nosotros","La basílica es hermosa, aunque es grande y muchas personas entrando y saliendo, se siente un recogimiento y fervor a la Virgen. Al igual que en las iglesias que están a su alrededor en las cuales te van contando con anuncios las apariciones y milagros",,5,,19 de julio de 2024,jul de 2024
