Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
Coyoacán... nunca deja de sorprender.,"Muchas veces he ido a Coyoacán, a la fuente de los coyotes o al mercado, por lo que nunca imaginé fue que descubriría una cara diferente, mágica, de historia, no solo contemporánea sino antiquísima.La guía que compartió con nosotros, Grace, de Estación México, fue muy amena en el recorrido, eso lo hizo aún más interesante porque se ve que ha leído y sabe cómo transmitir ese conocimiento de una manera divertida que invita a leer más sobre el tema.Me hizo falta tiempo, me hubiera gustado poder seguir escuchando de los personajes y calles aledañas a lo que recorrimos, aunque fue largo el camino se pasó muy muy rápido, gracias!!!En mi próxima visita a la CDMX iré al recorrido de la Roma, escuché a quién ya fue y se me antojó conocer también ese barrio.Felicidades",,5,,28 de julio de 2025,jul de 2025
Un gran paseo en la Ciudad de México.,Este es un gran complemento a un paseo por San Ángel. Hay muchos cafés y mercados y una bonita plaza central. Merece la pena visitarlo.,,4,"Toronto, Canadá",21 de julio de 2025,jul de 2025
Hermoso barrio donde el tiempo se detiene! Totalmente vale la pena el viaje para visitar y pasar una mañana.,"Absolutamente increíble barrio para visitar y caminar y tomar un almuerzo tranquilo o café o churro. Se siente muy seguro, súper tranquilo por las mañanas, un descanso de la bulliciosa vida de la ciudad. Sin duda vale la pena visitar las casas de Leon Trotsky y Frida Kahlo. Plaza es hermoso. ¡Simplemente pasee por ahí y vea todos los hermosos árboles y arquitectura!",,5,,13 de febrero de 2025,feb de 2025
Sensación de barrio auténtica,Este es un barrio agradable a pie. Tenía restaurantes más auténticos y un mercado de pulgas en el interior si te encuentras con el clima. La catedral en la plaza principal también es una buena parada.,,4,"Ann Arbor, MI",26 de enero de 2025,ene de 2025
Gran y seguro barrio para explorar,"Esto está bastante lejos de los otros barrios, pero definitivamente vale la pena hacer un viaje y caminar, sentado en el parque, ir a la casa de Frida Kahlo, ir al mercado. Un par de horas está bien a menos que también vayas a la universidad.",,5,"Chino Hills, CA",25 de enero de 2025,ene de 2025
Linda pero no vale la pena el tiempo en absoluto si solo visita CDMX.,"Linda y semi-interesante, pero ni de lejos tan agradable como Condesa, Polanco, Roma y Centro. La comida era generalmente peor que esos 3 lugares, pero más caro también, lo que estoy confundido. Comimos en un puesto de tacos y fue 3 veces lo que pagamos por un puesto de tacos mucho mejor en Condesa. Churros vi que el plp que sostenía parecía quemado. También echamos un vistazo al zoológico de coyote que era escaso y exhibición de lobos estaba completamente bloqueado. Caro viaje en uber de ida y vuelta, comida muy cara muy media, arquitectura muy media (es un pequeño pueblo lindo fino para ppl para vivir en tal vez como burbujas aburridos). Más sucio que las zonas más cercanas al centro con la excepción de centro, sin embargo centro tiene más que ver en términos de arquitectura y arte. Realmente no vale la pena visitar incluso con tiempo extra durante su visita. Vinimos aquí para que no tenga que hacerlo.",,3,,1 de enero de 2025,ene de 2025
Bonita zona elegante,"Buen lugar para relajarse y pasar unas horas, comer churros en El moro y visitar la calle Iglesia de Juan Bautista y algunos marcadores artesanales",,5,"Boston, MA",1 de enero de 2025,dic de 2024
Fue sin duda uno de los mejores distritos que visitamos durante nuestras pocas visitas a la Ciudad de México.,"Parece cómodo, acogedor y tiene una sensación fantástica. Los vendedores suelen ser corteses. Con todas las maravillosas opciones de comida, flores, frutas, verduras y otros artículos, el mercado permanente de larga duración es fantástico y realmente me hizo desear vivir cerca.",,5,,17 de diciembre de 2024,dic de 2024
"Vale la pena darse la oportunidad de caminar por el centro de está delegación, ","La historia que se respira en esta delegación es muy basta, creo que vale dedicarle por lo menos dos días si se está de visita en la CDMX ",,5,"Ciudad de México, México",28 de noviembre de 2024,nov de 2024
HAY QUE IR,"Es una mini ciudad muy cerca del DF nosotros llegamos en el turibus muy pintoresca, famosa por Frida Kalo al llegar fuimos a una panadería enorme muy cerca de la parada del bus muy rica, la catedral linda en el parque hay una heladería deliciosa también y la fuente muchos vendedores en el parque pero no te acosan.",,5,"El Salvador, Chile",19 de noviembre de 2024,ene de 2024
